ano;semana_epidemiologica;fecha_inicio_semana_epidemiologica;grupo_etario;departamento_residencia;n_notificaciones;n_confirmados_probables_fis;n_confirmados_por_laboratorio;n_internados_fecha_internacion;n_internados_uti_fecha_internacion;n_fallecidos_confirmados_por_laboratorio
2023;8;2023-02-19;[10,20);COMUNA 3;1;1;1;0;0;0
2023;8;2023-02-19;[20,30);COMUNA 3;1;0;0;0;0;0
2023;8;2023-02-19;[40,50);COMUNA 3;1;0;0;0;0;0
2023;8;2023-02-19;[80,90);COMUNA 3;1;0;0;0;0;0
2023;8;2023-02-19;[0,10);COMUNA 4;2;0;0;0;0;0
2023;8;2023-02-19;[10,20);COMUNA 4;1;1;1;1;0;0
2023;8;2023-02-19;[30,40);COMUNA 4;1;0;0;0;0;0
2023;8;2023-02-19;[40,50);COMUNA 4;1;0;0;0;0;0
2023;8;2023-02-19;[50,60);COMUNA 4;3;1;1;0;0;0
2023;8;2023-02-19;[30,40);COMUNA 5;1;1;0;0;0;0
2023;8;2023-02-19;[50,60);COMUNA 6;1;0;0;0;0;0
2023;8;2023-02-19;[20,30);COMUNA 7;3;2;1;0;0;0
2023;8;2023-02-19;[30,40);COMUNA 7;2;1;1;0;0;0
2023;8;2023-02-19;[40,50);COMUNA 7;2;2;2;0;0;0
2023;8;2023-02-19;[50,60);COMUNA 7;2;0;0;0;0;0
2023;8;2023-02-19;[60,70);COMUNA 7;3;0;0;0;0;0
2023;8;2023-02-19;[80,90);COMUNA 7;1;0;0;0;0;0
2023;8;2023-02-19;[10,20);COMUNA 8;2;0;0;0;0;0
2023;8;2023-02-19;[30,40);COMUNA 8;2;1;1;0;0;0
2023;8;2023-02-19;[40,50);COMUNA 8;1;1;1;0;0;0
2023;8;2023-02-19;[50,60);COMUNA 8;1;1;1;0;0;0
2023;8;2023-02-19;[60,70);COMUNA 8;2;0;0;0;0;0
2023;8;2023-02-19;[10,20);COMUNA 9;6;5;4;0;0;0
2023;8;2023-02-19;[20,30);COMUNA 9;6;8;7;2;0;0
2023;8;2023-02-19;[30,40);COMUNA 9;1;3;1;1;0;0
2023;8;2023-02-19;[40,50);COMUNA 9;5;3;1;1;0;0
2023;8;2023-02-19;[50,60);COMUNA 9;3;3;3;0;0;0
2023;8;2023-02-19;[60,70);COMUNA 9;2;3;2;0;0;0
2023;8;2023-02-19;[0,10);SIN DATOS;1;0;0;0;0;0
2023;8;2023-02-19;[10,20);SIN DATOS;1;0;0;0;0;0
2023;8;2023-02-19;[30,40);SIN DATOS;2;0;0;0;0;0
2023;8;2023-02-19;[50,60);SIN DATOS;1;0;0;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 1;2;2;1;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 1;1;0;0;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 1;1;0;0;0;0;0
2023;9;2023-02-26;[10,20);COMUNA 10;1;1;1;0;0;0
2023;9;2023-02-26;[20,30);COMUNA 10;2;1;1;0;0;0
2023;9;2023-02-26;[30,40);COMUNA 10;2;0;0;0;0;0
2023;9;2023-02-26;[40,50);COMUNA 10;1;1;1;0;0;0
2023;9;2023-02-26;[50,60);COMUNA 10;2;0;0;0;0;0
2023;9;2023-02-26;[60,70);COMUNA 10;1;1;1;0;0;0
